2GDTN;DCIVIL2;80122;2                                                                                                                                                                                   
2GDTN;DCONS;82658;2                                                                                                                                                                                     
2GDTN;DIRCONS1;84410;4                                                                                                                                                                                  
2GDTN;DIREMP1;82313;2                                                                                                                                                                                   
2GDTN;DIRPEN1;82757;4                                                                                                                                                                                   
2GDTN;DIRTR1;83381;2                                                                                                                                                                                    
2GDTN;DPRCIV2;82985;2                                                                                                                                                                                   
2GDTN;SOCJUR;81851;2                                                                                                                                                                                    
3ADTM;DCIVIL3;1305;4                                                                                                                                                                                    
3ADTM;DIRADM;1274;2                                                                                                                                                                                     
3ADTM;DIRCONS2;82709;2                                                                                                                                                                                  
3ADTM;DIREC;83292;2                                                                                                                                                                                     
3ADTM;DIRPEN2;488;2                                                                                                                                                                                     
3ADTM;DIRTR2;1660;2                                                                                                                                                                                     
3ADTM;DPRCIV3;80237;4                                                                                                                                                                                   
3ADTM;FILGJUR;81539;2                                                                                                                                                                                   
3BDTM;DCIVIL3;82308;4                                                                                                                                                                                   
3BDTM;DIRADM;1274;2                                                                                                                                                                                     
3BDTM;DIRCONS2;82709;2                                                                                                                                                                                  
3BDTM;DIREC;83292;2                                                                                                                                                                                     
3BDTM;DIRPEN2;82717;2                                                                                                                                                                                   
3BDTM;DIRTR2;1660;2                                                                                                                                                                                     
3BDTM;DPRCIV3;80237;4                                                                                                                                                                                   
3BDTM;FILGJUR;81530;2                                                                                                                                                                                   
3CDTN;DCIVIL3;1305;4                                                                                                                                                                                    
3CDTN;DIRADM;81031;2                                                                                                                                                                                    
3CDTN;DIRCONS2;84395;2                                                                                                                                                                                  
3CDTN;DIREC;83292;2                                                                                                                                                                                     
3CDTN;DIRPEN2;84422;2                                                                                                                                                                                   
3CDTN;DIRTR2;81932;2                                                                                                                                                                                    
3CDTN;DPRCIV3;82300;4                                                                                                                                                                                   
3CDTN;FILGJUR;81539;2                                                                                                                                                                                   
3DDTN;DCIVIL3;741;4                                                                                                                                                                                     
3DDTN;DIRADM;84395;2                                                                                                                                                                                    
3DDTN;DIRCONS2;84410;2                                                                                                                                                                                  
3DDTN;DIREC;83292;2                                                                                                                                                                                     
3DDTN;DIRPEN2;84422;2                                                                                                                                                                                   
3DDTN;DIRTR2;81932;2                                                                                                                                                                                    
3DDTN;DPRCIV3;82300;4                                                                                                                                                                                   
3DDTN;FILGJUR;81539;2                                                                                                                                                                                   
3EDTN;DCIVIL3;741;4                                                                                                                                                                                     
3EDTN;DIRADM;81031;2                                                                                                                                                                                    
3EDTN;DIRCONS2;84395;2                                                                                                                                                                                  
